,CRI_YM,TAG,평일휴일,요일,시간대,성별,연령대,건수합계
259,202105,인테리어,평일,수,A.02-06시,M,E.60대이상,27
260,201905,화장품,평일,금,B.06-10시,M,A.2O대,248
261,202005,생활/사무용품,평일,화,E.18-22시,F,E.60대이상,746
262,201905,유아용품,평일,목,F.22-02시,F,C.4O대,674
263,202005,인테리어,휴일,화,E.18-22시,M,A.2O대,136
264,202005,서적,평일,목,C.10-14시,M,A.2O대,195
265,202005,애완용품,휴일,화,B.06-10시,M,C.4O대,18
266,202005,식료품,평일,월,A.02-06시,M,C.4O대,577
267,201905,식료품,평일,화,C.10-14시,M,E.60대이상,529
268,202105,애완용품,휴일,토,A.02-06시,F,E.60대이상,11
269,202105,애완용품,평일,목,C.10-14시,M,C.4O대,386
270,201905,화장품,평일,월,A.02-06시,F,B.3O대,367
271,202105,차량정비_부품,평일,목,B.06-10시,M,D.5O대,235
272,202005,유아용품,휴일,금,E.18-22시,F,E.60대이상,11
273,202005,가전,평일,금,C.10-14시,F,E.60대이상,260
274,202105,애완용품,휴일,일,A.02-06시,M,B.3O대,47
275,202005,차량정비_부품,휴일,일,A.02-06시,F,B.3O대,42
276,202005,서적,휴일,토,A.02-06시,M,B.3O대,99
277,202105,가전,평일,월,A.02-06시,M,C.4O대,450
278,201905,화장품,휴일,토,D.14-18시,F,A.2O대,914
279,202005,화장품,평일,화,E.18-22시,M,D.5O대,364
280,202005,애완용품,휴일,일,F.22-02시,M,A.2O대,121
281,202005,가전,휴일,금,A.02-06시,M,B.3O대,89
282,201905,스포츠의류용품,휴일,일,E.18-22시,M,D.5O대,161
283,201905,인테리어,휴일,월,F.22-02시,M,D.5O대,86
284,202105,유아용품,휴일,토,A.02-06시,M,C.4O대,82
285,201905,차량정비_부품,휴일,토,B.06-10시,F,D.5O대,13
286,202105,골프용품,평일,월,E.18-22시,F,C.4O대,225
287,201905,식료품,평일,월,E.18-22시,M,B.3O대,2239
288,202005,서적,휴일,일,B.06-10시,F,C.4O대,671
289,202005,유아용품,휴일,금,D.14-18시,F,E.60대이상,7
290,202005,애완용품,휴일,금,B.06-10시,M,B.3O대,39
291,202105,인테리어,평일,월,A.02-06시,F,B.3O대,551
292,201905,패션,휴일,월,F.22-02시,F,C.4O대,1997
293,201905,패션,휴일,일,F.22-02시,M,E.60대이상,183
294,202005,가전,휴일,화,B.06-10시,F,D.5O대,43
295,202105,취미용품,휴일,수,E.18-22시,F,E.60대이상,28
296,202005,식료품,휴일,금,E.18-22시,F,D.5O대,640
297,202005,패션,휴일,금,C.10-14시,F,A.2O대,1226
298,202005,서적,휴일,화,D.14-18시,F,C.4O대,538
299,202005,인테리어,평일,월,B.06-10시,M,C.4O대,932
300,201905,스포츠의류용품,휴일,월,D.14-18시,M,D.5O대,35
301,202105,가전,평일,월,E.18-22시,F,E.60대이상,280
302,202005,서적,평일,금,F.22-02시,M,B.3O대,340
303,202105,인테리어,평일,목,D.14-18시,F,A.2O대,1112
304,202105,패션,평일,수,F.22-02시,M,A.2O대,1406
305,202005,애완용품,평일,화,B.06-10시,M,A.2O대,41
306,201905,취미용품,평일,월,E.18-22시,F,C.4O대,286
307,201905,인테리어,휴일,토,E.18-22시,F,E.60대이상,86
308,202105,식료품,평일,금,A.02-06시,F,D.5O대,502
309,202105,취미용품,평일,금,A.02-06시,F,E.60대이상,11
310,201905,애완용품,평일,화,B.06-10시,F,D.5O대,85
311,201905,생활/사무용품,평일,목,C.10-14시,F,C.4O대,6360
312,201905,인테리어,평일,화,D.14-18시,F,B.3O대,1690
313,202005,가전,휴일,금,D.14-18시,M,E.60대이상,51
314,202005,취미용품,휴일,토,E.18-22시,F,D.5O대,163
315,202105,생활/사무용품,평일,수,E.18-22시,F,D.5O대,2037
316,202105,애완용품,휴일,수,A.02-06시,M,A.2O대,22
317,202005,화장품,휴일,토,C.10-14시,M,C.4O대,1046
318,202105,패션,평일,금,E.18-22시,M,A.2O대,2071
319,202005,화장품,휴일,일,B.06-10시,M,D.5O대,235
320,202005,가전,평일,금,F.22-02시,F,B.3O대,1052
321,202105,화장품,평일,수,D.14-18시,F,C.4O대,1838
322,202005,인테리어,평일,목,C.10-14시,M,E.60대이상,343
323,201905,애완용품,평일,월,F.22-02시,F,A.2O대,253
324,202105,차량정비_부품,평일,금,A.02-06시,F,D.5O대,10
325,201905,가전,평일,월,B.06-10시,M,C.4O대,1394
326,201905,유아용품,평일,목,C.10-14시,F,E.60대이상,71
327,201905,인테리어,평일,화,C.10-14시,M,B.3O대,1536
328,202005,생활/사무용품,평일,월,F.22-02시,M,D.5O대,1482
329,202105,화장품,휴일,일,A.02-06시,F,A.2O대,462
330,202005,차량정비_부품,평일,금,D.14-18시,F,A.2O대,125
331,201905,유아용품,평일,수,A.02-06시,F,C.4O대,73
332,201905,서적,평일,목,B.06-10시,M,B.3O대,438
333,202105,스포츠의류용품,휴일,토,B.06-10시,M,E.60대이상,44
334,202105,화장품,평일,금,C.10-14시,M,E.60대이상,242
335,201905,화장품,휴일,일,A.02-06시,M,A.2O대,68
336,201905,서적,평일,수,E.18-22시,F,E.60대이상,63
337,202105,패션,휴일,일,B.06-10시,F,D.5O대,2416
338,202105,스포츠의류용품,휴일,토,B.06-10시,M,C.4O대,401
339,201905,생활/사무용품,휴일,일,D.14-18시,F,D.5O대,1385
340,202005,가전,평일,화,E.18-22시,M,E.60대이상,164
341,202005,애완용품,평일,수,B.06-10시,M,C.4O대,154
342,202005,취미용품,평일,수,E.18-22시,F,B.3O대,558
343,201905,애완용품,평일,월,C.10-14시,F,C.4O대,367
344,202105,취미용품,휴일,토,F.22-02시,M,B.3O대,496
345,202005,홈쇼핑,휴일,일,F.22-02시,F,E.60대이상,2919
346,202105,서적,평일,월,C.10-14시,F,B.3O대,3755
347,202005,골프용품,휴일,화,F.22-02시,F,A.2O대,3
348,201905,서적,평일,금,C.10-14시,F,E.60대이상,103
