Date,Open,High,Low,Close,Adj Close,Volume
2019-10-18,50300.000000,50900.000000,49650.000000,49900.000000,46548.878906,8483106
2019-10-21,49900.000000,50400.000000,49800.000000,50300.000000,46922.011719,4406531
2019-10-22,50800.000000,51500.000000,50700.000000,51200.000000,47761.574219,10898729
2019-10-23,51300.000000,51500.000000,50800.000000,51200.000000,47761.574219,8663880
2019-10-24,52500.000000,52500.000000,50500.000000,50700.000000,47295.148438,21185785
2019-10-25,50800.000000,51200.000000,50500.000000,50900.000000,47481.718750,7879897
2019-10-28,50700.000000,51500.000000,50700.000000,51300.000000,47854.855469,6431522
2019-10-29,51400.000000,51700.000000,50800.000000,51100.000000,47668.292969,7581629
2019-10-30,50700.000000,50800.000000,50200.000000,50400.000000,47015.304688,8959435
2019-10-31,51000.000000,51400.000000,50300.000000,50400.000000,47015.304688,10304777
2019-11-01,50600.000000,51200.000000,50400.000000,51200.000000,47761.574219,8467846
2019-11-04,51700.000000,52300.000000,51400.000000,52300.000000,48787.707031,13012411
2019-11-05,52400.000000,52700.000000,52100.000000,52700.000000,49160.835938,10581034
2019-11-06,52900.000000,53500.000000,52700.000000,53300.000000,49720.542969,14361133
2019-11-07,53400.000000,53400.000000,52400.000000,52900.000000,49347.406250,9257116
2019-11-08,53200.000000,53300.000000,52000.000000,52100.000000,48601.136719,11603290
2019-11-11,52200.000000,52200.000000,51400.000000,51600.000000,48134.710938,8185952
2019-11-12,51800.000000,52600.000000,51600.000000,52600.000000,49067.550781,6576148
2019-11-13,52500.000000,52500.000000,52000.000000,52500.000000,48974.269531,6225196
2019-11-14,51900.000000,52800.000000,51900.000000,52800.000000,49254.121094,12010018
2019-11-15,52900.000000,53700.000000,52600.000000,53700.000000,50093.679688,9703360
2019-11-18,53600.000000,53800.000000,53200.000000,53500.000000,49907.113281,7746554
2019-11-19,53200.000000,53500.000000,52700.000000,53500.000000,49907.113281,8907177
2019-11-20,53400.000000,53400.000000,52000.000000,52000.000000,48507.843750,12560070
2019-11-21,51600.000000,52100.000000,50600.000000,51000.000000,47575.003906,14298646
2019-11-22,51000.000000,51600.000000,50900.000000,51600.000000,48134.710938,8478310
2019-11-25,52200.000000,52600.000000,51700.000000,51800.000000,48321.281250,9050625
2019-11-26,51900.000000,52900.000000,51800.000000,51800.000000,48321.281250,27372226
2019-11-27,51800.000000,52300.000000,51600.000000,52200.000000,48694.414063,7546261
2019-11-28,51900.000000,52100.000000,51300.000000,51300.000000,47854.855469,6833885
2019-11-29,51200.000000,51400.000000,50200.000000,50300.000000,46922.011719,11179334
2019-12-02,50900.000000,51300.000000,50400.000000,50400.000000,47015.304688,18877252
2019-12-03,49800.000000,50300.000000,49500.000000,49900.000000,46548.878906,12059812
2019-12-04,49600.000000,49850.000000,49000.000000,49450.000000,46129.097656,13246549
2019-12-05,50200.000000,50400.000000,49500.000000,49500.000000,46175.738281,10449715
2019-12-06,50100.000000,50900.000000,49950.000000,50400.000000,47015.304688,11414563
