CRI_YM,TAG,평일휴일,요일,시간대,성별,연령대, 건수합계 ,,,
202005,2,평일,화,D.14-18시,M,E.60대이상, 45 ,,,
202105,1,휴일,토,A.02-06시,F,E.60대이상, 14 ,,,
201905,1,평일,목,A.02-06시,M,C.4O대, 71 ,,,
202105,1,평일,화,E.18-22시,F,D.5O대," 3,927 ",,,
202005,1,평일,월,A.02-06시,F,E.60대이상, 14 ,,,
202105,1,휴일,수,C.10-14시,M,E.60대이상, 29 ,,,
202105,4,평일,수,D.14-18시,F,E.60대이상, 877 ,,,
202105,1,평일,수,F.22-02시,F,B.3O대, 143 ,,,
201905,1,평일,금,F.22-02시,F,A.2O대, 465 ,,,
201905,1,휴일,일,A.02-06시,F,C.4O대, 122 ,,,
202105,1,평일,월,B.06-10시,M,C.4O대, 430 ,,,
201905,4,평일,수,B.06-10시,M,A.2O대, 450 ,,,
202005,1,휴일,금,F.22-02시,M,C.4O대, 49 ,,,
201905,1,평일,목,A.02-06시,F,B.3O대, 211 ,,,
201905,1,휴일,토,D.14-18시,M,A.2O대, 463 ,,,
201905,3,휴일,일,C.10-14시,M,C.4O대, 138 ,,,
202105,1,평일,금,C.10-14시,M,B.3O대, 135 ,,,
202105,1,평일,월,F.22-02시,F,C.4O대," 1,220 ",,,
201905,1,휴일,월,D.14-18시,F,A.2O대, 180 ,,,
201905,3,휴일,일,A.02-06시,M,A.2O대, 10 ,,,
202105,4,평일,목,A.02-06시,M,B.3O대, 659 ,,,
202105,1,휴일,수,C.10-14시,M,B.3O대," 1,026 ",,,
202005,1,휴일,금,A.02-06시,F,B.3O대, 56 ,,,
202105,1,평일,월,A.02-06시,M,E.60대이상, 191 ,,,
202005,1,휴일,금,B.06-10시,M,C.4O대, 150 ,,,
202005,1,휴일,금,E.18-22시,F,A.2O대, 352 ,,,
202005,2,평일,금,B.06-10시,M,B.3O대, 779 ,,,
202005,1,휴일,토,F.22-02시,F,B.3O대," 5,731 ",,,
202105,3,휴일,토,D.14-18시,M,E.60대이상, 46 ,,,
202105,1,평일,화,B.06-10시,F,C.4O대," 1,339 ",,,
201905,2,평일,화,A.02-06시,F,C.4O대, 880 ,,,
202105,1,휴일,수,F.22-02시,F,A.2O대, 294 ,,,
202105,2,휴일,토,E.18-22시,M,A.2O대," 2,595 ",,,
202105,1,휴일,수,D.14-18시,M,D.5O대, 81 ,,,
202005,2,평일,목,A.02-06시,F,E.60대이상, 122 ,,,
202105,1,평일,수,A.02-06시,M,E.60대이상, 27 ,,,
201905,2,평일,금,B.06-10시,M,A.2O대, 248 ,,,
202005,1,평일,화,E.18-22시,F,E.60대이상, 746 ,,,
201905,1,평일,목,F.22-02시,F,C.4O대, 674 ,,,
202005,1,휴일,화,E.18-22시,M,A.2O대, 136 ,,,
202005,1,평일,목,C.10-14시,M,A.2O대, 195 ,,,
202005,3,휴일,화,B.06-10시,M,C.4O대, 18 ,,,
202005,4,평일,월,A.02-06시,M,C.4O대, 577 ,,,
201905,4,평일,화,C.10-14시,M,E.60대이상, 529 ,,,
202105,3,휴일,토,A.02-06시,F,E.60대이상, 11 ,,,
202105,3,평일,목,C.10-14시,M,C.4O대, 386 ,,,
201905,2,평일,월,A.02-06시,F,B.3O대, 367 ,,,
202105,1,평일,목,B.06-10시,M,D.5O대, 235 ,,,
202005,1,휴일,금,E.18-22시,F,E.60대이상, 11 ,,,
202005,1,평일,금,C.10-14시,F,E.60대이상, 260 ,,,
202105,3,휴일,일,A.02-06시,M,B.3O대, 47 ,,,
202005,1,휴일,일,A.02-06시,F,B.3O대, 42 ,,,
202005,1,휴일,토,A.02-06시,M,B.3O대, 99 ,,,
202105,1,평일,월,A.02-06시,M,C.4O대, 450 ,,,
201905,2,휴일,토,D.14-18시,F,A.2O대, 914 ,,,
202005,2,평일,화,E.18-22시,M,D.5O대, 364 ,,,
202005,3,휴일,일,F.22-02시,M,A.2O대, 121 ,,,
202005,1,휴일,금,A.02-06시,M,B.3O대, 89 ,,,
201905,2,휴일,일,E.18-22시,M,D.5O대, 161 ,,,
201905,1,휴일,월,F.22-02시,M,D.5O대, 86 ,,,
202105,1,휴일,토,A.02-06시,M,C.4O대, 82 ,,,
201905,1,휴일,토,B.06-10시,F,D.5O대, 13 ,,,
202105,1,평일,월,E.18-22시,F,C.4O대, 225 ,,,
201905,4,평일,월,E.18-22시,M,B.3O대," 2,239 ",,,
202005,1,휴일,일,B.06-10시,F,C.4O대, 671 ,,,
202005,1,휴일,금,D.14-18시,F,E.60대이상, 7 ,,,
202005,3,휴일,금,B.06-10시,M,B.3O대, 39 ,,,
202105,1,평일,월,A.02-06시,F,B.3O대, 551 ,,,
201905,2,휴일,월,F.22-02시,F,C.4O대," 1,997 ",,,
201905,2,휴일,일,F.22-02시,M,E.60대이상, 183 ,,,
202005,1,휴일,화,B.06-10시,F,D.5O대, 43 ,,,
202105,1,휴일,수,E.18-22시,F,E.60대이상, 28 ,,,
202005,4,휴일,금,E.18-22시,F,D.5O대, 640 ,,,
202005,2,휴일,금,C.10-14시,F,A.2O대," 1,226 ",,,
202005,1,휴일,화,D.14-18시,F,C.4O대, 538 ,,,
202005,1,평일,월,B.06-10시,M,C.4O대, 932 ,,,
201905,2,휴일,월,D.14-18시,M,D.5O대, 35 ,,,
202105,1,평일,월,E.18-22시,F,E.60대이상, 280 ,,,
202005,1,평일,금,F.22-02시,M,B.3O대, 340 ,,,
202105,1,평일,목,D.14-18시,F,A.2O대," 1,112 ",,,
202105,2,평일,수,F.22-02시,M,A.2O대," 1,406 ",,,
202005,3,평일,화,B.06-10시,M,A.2O대, 41 ,,,
201905,1,평일,월,E.18-22시,F,C.4O대, 286 ,,,
201905,1,휴일,토,E.18-22시,F,E.60대이상, 86 ,,,
202105,4,평일,금,A.02-06시,F,D.5O대, 502 ,,,
202105,1,평일,금,A.02-06시,F,E.60대이상, 11 ,,,
201905,3,평일,화,B.06-10시,F,D.5O대, 85 ,,,
201905,1,평일,목,C.10-14시,F,C.4O대," 6,360 ",,,
201905,1,평일,화,D.14-18시,F,B.3O대," 1,690 ",,,
202005,1,휴일,금,D.14-18시,M,E.60대이상, 51 ,,,
202005,1,휴일,토,E.18-22시,F,D.5O대, 163 ,,,
202105,1,평일,수,E.18-22시,F,D.5O대," 2,037 ",,,
202105,3,휴일,수,A.02-06시,M,A.2O대, 22 ,,,
202005,2,휴일,토,C.10-14시,M,C.4O대," 1,046 ",,,
202105,2,평일,금,E.18-22시,M,A.2O대," 2,071 ",,,
202005,2,휴일,일,B.06-10시,M,D.5O대, 235 ,,,
202005,1,평일,금,F.22-02시,F,B.3O대," 1,052 ",,,
202105,2,평일,수,D.14-18시,F,C.4O대," 1,838 ",,,
202005,1,평일,목,C.10-14시,M,E.60대이상, 343 ,,,
201905,3,평일,월,F.22-02시,F,A.2O대, 253 ,,,
202105,1,평일,금,A.02-06시,F,D.5O대, 10 ,,,
201905,1,평일,월,B.06-10시,M,C.4O대," 1,394 ",,,
201905,1,평일,목,C.10-14시,F,E.60대이상, 71 ,,,
201905,1,평일,화,C.10-14시,M,B.3O대," 1,536 ",,,
202005,1,평일,월,F.22-02시,M,D.5O대," 1,482 ",,,
202105,2,휴일,일,A.02-06시,F,A.2O대, 462 ,,,
202005,1,평일,금,D.14-18시,F,A.2O대, 125 ,,,
201905,1,평일,수,A.02-06시,F,C.4O대, 73 ,,,
201905,1,평일,목,B.06-10시,M,B.3O대, 438 ,,,
202105,2,휴일,토,B.06-10시,M,E.60대이상, 44 ,,,
202105,2,평일,금,C.10-14시,M,E.60대이상, 242 ,,,
201905,2,휴일,일,A.02-06시,M,A.2O대, 68 ,,,
201905,1,평일,수,E.18-22시,F,E.60대이상, 63 ,,,
202105,2,휴일,일,B.06-10시,F,D.5O대," 2,416 ",,,
202105,2,휴일,토,B.06-10시,M,C.4O대, 401 ,,,
201905,1,휴일,일,D.14-18시,F,D.5O대," 1,385 ",,,
202005,1,평일,화,E.18-22시,M,E.60대이상, 164 ,,,
202005,3,평일,수,B.06-10시,M,C.4O대, 154 ,,,
202005,1,평일,수,E.18-22시,F,B.3O대, 558 ,,,
201905,3,평일,월,C.10-14시,F,C.4O대, 367 ,,,
202105,1,휴일,토,F.22-02시,M,B.3O대, 496 ,,,
202105,1,평일,월,C.10-14시,F,B.3O대," 3,755 ",,,
