,CRI_YM,TAG,평일휴일,요일,시간대,성별,연령대, 건수합계 ,Unnamed: 8,Unnamed: 9,Unnamed: 10
316,201905,1,1,4,0,1,0,68,,,
317,201905,0,0,2,4,0,4,63,,,
318,202105,1,1,4,1,0,3,2416,,,
319,202105,1,1,5,1,1,2,401,,,
320,201905,0,1,4,3,0,3,1385,,,
321,202005,0,0,6,4,1,4,164,,,
322,202005,2,0,2,1,1,2,154,,,
323,202005,0,0,2,4,0,1,558,,,
324,201905,2,0,3,2,0,2,367,,,
325,202105,0,1,5,5,1,1,496,,,
326,202105,0,0,3,2,0,1,3755,,,
327,202005,0,1,6,5,0,0,3,,,
328,201905,0,0,0,2,0,4,103,,,
329,201905,0,0,0,1,0,0,918,,,
330,202005,1,1,4,1,0,0,656,,,
331,201905,0,1,4,0,0,1,137,,,
332,202105,1,1,4,2,1,3,2784,,,
333,202105,0,0,0,0,1,4,30,,,
334,201905,0,0,6,3,0,0,96,,,
335,202005,1,1,0,5,1,1,147,,,
336,201905,0,1,5,0,1,2,80,,,
337,202005,0,0,1,1,1,2,293,,,
338,202005,1,0,6,3,1,0,1563,,,
339,202005,0,0,0,1,0,4,92,,,
340,201905,0,0,0,4,0,2,85,,,
341,202005,1,0,6,5,0,1,9675,,,
342,201905,0,0,2,0,1,4,7,,,
343,201905,3,1,5,5,1,0,350,,,
344,202105,0,0,2,0,0,3,7,,,
345,202105,0,1,2,4,1,3,253,,,
346,202105,1,0,2,5,0,1,477,,,
347,201905,0,1,2,5,1,3,22,,,
348,202005,0,0,1,2,0,4,2378,,,
349,202005,0,0,1,3,0,0,419,,,
350,201905,0,1,5,1,1,4,13,,,
351,201905,0,1,3,0,0,3,11,,,
352,202105,1,1,4,3,0,0,7247,,,
353,202105,1,0,2,4,1,4,35,,,
354,202005,0,0,2,0,0,4,38,,,
355,202005,1,0,1,4,1,2,516,,,
356,202105,1,1,4,5,1,1,6642,,,
357,202105,2,1,2,5,0,0,251,,,
358,201905,2,1,3,4,1,0,20,,,
359,201905,0,0,0,3,0,1,432,,,
360,202105,1,0,0,0,0,0,1168,,,
361,202105,0,0,6,3,1,1,120,,,
362,202005,0,1,4,1,0,1,144,,,
363,202005,1,1,0,1,1,4,44,,,
364,201905,3,1,3,5,0,4,76,,,
365,201905,2,0,6,3,0,0,342,,,
366,201905,1,0,3,1,0,3,47,,,
367,201905,0,1,5,5,1,3,63,,,
368,202005,0,0,2,0,0,3,134,,,
369,202105,0,1,4,1,1,2,329,,,
370,202105,0,0,2,3,0,1,1561,,,
371,201905,0,0,2,0,0,0,139,,,
372,201905,0,0,6,3,1,3,712,,,
373,201905,0,1,3,0,0,0,21,,,
374,201905,0,0,3,2,1,4,409,,,
375,202105,2,1,2,0,0,1,52,,,
